title,description,sector_extracted,job_category,competence_cleaned,company_name,Region,contract_type,niveau d'études requis,niveau d'expérience,posted_date,remote_work
CASA / CHARGES DE CLIENTELE EN RECEPTION ENTRE 7H / 19H DIM OFF,"SANS frais de dossier et SANS proposition de formation JOB DEVELOPPEMENT recrute GRATUITEMENT, EXPERIMENTES ET DEBUTANTSNous recrutons des...",Informatique,Science & IA,, JOB DEVELOPPEMENT, Casablanca,,,,27.10.2020 ,
Data Analyst BI Datafactory,Nous sommes à la recherche d'un Data Analyst BI Datafactory.Missions :Maitrise de l’activité data-driven sur l’...,Informatique,Science & IA,"AUTOSYS, BI, GIT, GITLAB, LINUX, POWERSHELL, SQL", RED TIC, Casablanca-Mohammedia,,,,01.04.2024 ,
Office Manager - Casablanca,"Nous sommes à la recherche d' Office Manager.    Missions principales :     Achats de matériels et fournitures et gestion budgétaire de caisse   Préparer les BL, BC et règlements fournisseurs   Gestion des déplacements à l'étranger   Suivi de la couverture santé   Organisation des événements internes  Suivi des absences et congés payés",Informatique,Science & IA,"COMPTABILITÉ, FINANCE, GESTION, GESTION, BUDGÉTAIRE",BEINTERIM,Casablanca-Mohammedia,CDD & Intérim,Bac+3 & Bac+4,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,22.03.2025,
Ingénieurs Etude et Développement  Java J2EE Confirmés (H/F) | Casablanca  (Maroc),,Informatique,Autre,,,,,,,25/12/2017,
Lead Développeur Java JEE (H/F),"Nous recherchons un Lead Développeur Java JEE (H/F) pour notre client,...",Informatique,Développement,"AGILE, CSS, ECLIPSE, HIBERNATE, HTML, JAVA, JAVA, JEE, JAVASCRIPT, JENKINS, JUNIT, MAVEN, SPRING, UML", AFRICASHORE, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,,,,29.04.2024 ,
Pricing and Financial Performance Expert | Casablanca (Maroc),,"['Informatique', 'Telecom']",Consultation,,Orange Business,,CDI,,,21/04/2025,Hybride
Responsable IT (Key User ERP),Entreprise industrielle  basée à Tanger (Zone Franche) cherche un Responsable IT (Key User ERP) en charge du fonctionnement optimal du...,Informatique,Management,, ERUDIA SYSTÈME, Tanger,,,,07.08.2020 ,
Virtualization and Network Engineer | Rabat (Maroc),,Informatique,Infrastructure,,,,,,,22/05/2025,
Product Owner | Casablanca (Maroc),,Autre,Gestion de Projet,,,,,,,29/05/2025,
"Expert Data Scientists/Researcher in Generative AI, Large Language Models (LLM), Machine Learning (ML), and AI | Rabat, Rabat-Salé-Kénitra, Maroc (Maroc)",,Informatique,Science & IA,,,,,,,21/04/2025,
Consultant SAP MM/SD/EWM/PP/QM/CAR (H/F),Nous recherchons un Consultant SAP MM/SD/EWM/PP/QM/CAR (H/F) pour notre client...,Conseil,Consultation,SAP, AFRICASHORE, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,,,,29.04.2024 ,
Développeur WORDPRESS H/F - Casablanca,Nous recrutons pour le compte d'un client un Développeur Wordpress avec une bonne expérience en e-Commerce de produits physiques. ...,Informatique,Développement,, AFRICAWORK MAROC, Casablanca,,,,26.06.2020 ,
Tech Lead / Geek / Ingénieur Java Senior,"Si vous êtes un(e) ingénieur(e) plein(e) de talents, geek dans l'âme, White Hat dans l'esprit, et que vous souhaitez rejoindre une...",Informatique,Science & IA,, EVEAD GROUP, Casablanca,,,,07.08.2020 ,
Ingénieur Etude et Développement PHP5 + Frameworks - | France (France),,Informatique,Autre,,,,,,,28/12/2017,
