title,remote_work,contract_type,Competence,end_date,company_description,requirements,niveau d'expérience,company_name,niveau d'études requis,number_of_positions,url,description,Region,sector,posted_date,id
Responsable Infrastructure IT (Systèmes & Réseaux) | Casablanca (Maroc),Hybride,CDI,,06/08/2025,"Fort de ses 15 années d’expertise dans le domaine de l’externalisation de la relation client et des métiers IT, le Groupe Tersea Compte aujourdhui 7 sites répartis entre 3 pays: La France,...","Dans le cadre du développement de ses activités, notre Direction des Systèmes d’Information recrute un Responsable Infrastructure. Vous êtes un professionnel expérimenté, reconnu pour votre rigueur et votre...",,Tersea,,,/offre-emploi-responsable-infrastructure-it-systemes-reseaux-recrutement-tersea-casablanca-172255.html,,,"['Informatique', 'Internet / Multimédia']",06/06/2025,172255
Chef de Projet Technique (Infrastructure IT) | Maroc (Maroc),Hybride,CDI,,06/08/2025,"Fort de ses 15 années d’expertise dans le domaine de l’externalisation de la relation client et des métiers IT, le Groupe Tersea Compte aujourdhui 7 sites répartis entre 3 pays: La France,...","Dans le cadre du renforcement de nos équipes, notre Direction des Systèmes d’Information recherche un Chef de Projet Technique. Vous justifiez d’une solide expérience en gestion de projets IT et souhaitez contribuer...",,Tersea,,,/offre-emploi-chef-de-projet-technique-infrastructure-it-recrutement-tersea-maroc-172254.html,,,"['Informatique', 'Internet / Multimédia']",06/06/2025,172254
Ingénieur Réseau – Casablanca | Casablanca (Maroc),Non,CDI,,06/08/2025,"Fort de ses 15 années d’expertise dans le domaine de l’externalisation de la relation client et des métiers IT, le Groupe Tersea Compte aujourdhui 7 sites répartis entre 3 pays: La France,...","Tersea Groupe recrute un Ingénieur Réseau passionné par les infrastructures réseau et qui souhaite évoluer dans un environnement technique stimulant, pour renforcer l’équipe infrastructure à...",,Tersea,,,/offre-emploi-ingenieur-reseau-casablanca-recrutement-tersea-casablanca-172253.html,,,"['Informatique', 'Internet / Multimédia']",06/06/2025,172253
Dev Full Stack Sénior Java / Javascript | Rabat (Maroc),Hybride,CDI,,06/08/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","+Développement et maintenance d’applications back-end et front-end (Java, Spring, ExtJS, jQuery-like). +Contribution à la conception, développement et déploiement de nouvelles fonctionnalités. +Amélioration...",,ALTEN Maroc,,,/offre-emploi-dev-full-stack-senior-java-javascript-recrutement-alten-maroc-rabat-172252.html,,,['Informatique'],06/06/2025,172252
IT Tech Team Lead H/F | Rabat (Maroc),Non,CDI,,05/08/2025,"Rejoignez Cnexia et faites le choix de faire partie d’un projet qui valorise l’innovation, promeut le développement continu des compétences et donne l’opportunité aux personnes créatives et ambitieuses du domaine...","Manage locally a team of High-tech resources working in teams and pods to deliver high value programs Coordinate with hiring managers, supervise, organize your scope to ensure performance and consistency targets are met Contribute in the selection...",,Cnexia,,,/offre-emploi-it-tech-team-lead-hf-recrutement-cnexia-rabat-172233.html,,,['Informatique'],05/06/2025,172233
Product Owner – Care & Payment (h/f) | Casablanca (Maroc),Hybride,CDI,,05/08/2025,"Vous êtes en quête de nouveaux challenges et vous souhaitez donner un nouvel élan à votre carrière ? Vous cherchez à rejoindre une entreprise à taille humaine qui place l’agilité,...","Pour renforcer ses équipes, Sofrecom Maroc, filiale du group Orange, recrute un Product Owner (h/f) capable de piloter des produits complexes et à fort impact dans un environnement multiculturel et multi-pays, avec un fort focus sur...",,Sofrecom Maroc,,,/offre-emploi-product-owner-care-payment-hf-recrutement-sofrecom-maroc-casablanca-172215.html,,,['Informatique'],05/06/2025,172215
Max IT Chief Coordinator & E-commerce Manager (h/f) | Casablanca (Maroc),Hybride,CDI,,05/08/2025,"Vous êtes en quête de nouveaux challenges et vous souhaitez donner un nouvel élan à votre carrière ? Vous cherchez à rejoindre une entreprise à taille humaine qui place l’agilité,...","Pour renforcer ses équipes, Sofrecom Maroc, filiale du groupe Orange recrute un Max IT Chief Coordinator & E-commerce Manager (h/f). le poste de Max it Product & E-commerce Manager a une double mission : Assurer la définition de...",,Sofrecom Maroc,,,/offre-emploi-max-it-chief-coordinator-e-commerce-manager-hf-recrutement-sofrecom-maroc-casablanca-172214.html,,,['Informatique'],05/06/2025,172214
Digital Product Manager (H/F) | Casablanca (Maroc),Hybride,CDI,,05/08/2025,"Vous êtes en quête de nouveaux challenges et vous souhaitez donner un nouvel élan à votre carrière ? Vous cherchez à rejoindre une entreprise à taille humaine qui place l’agilité,...","Nous recherchons un Digital Product Manager (h/F) pour un CDI à Casablanca. Missions : En tant que Digital Product Manager, vous jouerez un rôle clé dans le déploiement de notre super-app Max it au sein de nos filiales et dans...",,Sofrecom Maroc,,,/offre-emploi-digital-product-manager-hf-recrutement-sofrecom-maroc-casablanca-172213.html,,,['Informatique'],05/06/2025,172213
Développeur backend .NET Core (H/F) | Casablanca (Maroc),Non,CDI,,30/07/2025,"Pour l'un de nos projets, nous recrutons un Développeur backend .NET Core ( H/F).","Vous aurez comme mission: Analyse du projet / Compréhension du besoin Etablissement de propositions techniques, en lien avec l’architecte Réalisation des développements Participation à des phases de...",,Oceane Consulting IT Maroc,,,/offre-emploi-developpeur-backend-.net-core-hf-recrutement-oceane-consulting-it-maroc-casablanca-172038.html,,,['Informatique'],05/06/2025,172038
Expert IT Support N2 | Rabat (Maroc),Hybride,CDI,,05/08/2025,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Dans le cadre de l'extension de notre équipe pour le domaine du Luxe, nous recherchons des Experts Support Magasin N2 pour intégrer une équipe basée au Maroc. Cette équipe aura pour mission la gestion des incidents N2...",,ALTEN Maroc,,,/offre-emploi-expert-it-support-n2-recrutement-alten-maroc-rabat-172205.html,,,['Informatique'],05/06/2025,172205
