title,company_name,description,posted_date:,niveau d'études requis,niveau d'expérience,contract_type,Region,Competence
Technicien Réseau de Transmission DVP/IP - Casablanca, DAMA,"Nous recrutons pour le compte d’un de nos clients opérant dans le secteur audiovisuel, un(e) Technicien Réseau de transmission DVP/IP...",02.12.2022 ,,,, Casablanca-Mohammedia, 
Techniciens en Maintenance Informatique, NCRM,"Dans le cadre du renforcement de notre équipe, nous sommes à la recherche d'un Technicien en Maintenance Informatique un ...",02.12.2022 ,,,, Agadir - Casablanca-Mohammedia - Meknès - Oujda & Rabat-Salé-..., ÉLECTRONIQUE INFORMATIQUE
Technicien en Electronique, NCRM,"Dans le cadre du renforcement de notre équipe, nous sommes à la recherche d'un Technicien en électronique spécialisé dans l'...",02.12.2022 ,,,, Agadir - Casablanca-Mohammedia - Meknès - Oujda & Rabat-Salé-..., DU ÉLECTRONIQUE MACHINES MAINTENANCE MAINTENANCE PRÉVENTIVE PRODUCTION QUALITÉ
Développeur Informatique, TECTRA RABAT - KENITRA,Missions :Identifier et analyser les besoins des utilisateurs pour présenter un projet au plus près des attentes du client ;Définir...,02.12.2022 ,,,, Rabat-Salé-Kénitra, CSS HTML JAVASCRIPT
Chef de Projet MOA/MOE Trade & Finance, RED TIC,"Missions :Gestion et suivi du projet,Gestion de la relation projet avec les différents acteurs projet internes et externesCadrage...",21.03.2023 ,,,, Casablanca-Mohammedia, 
Ingénieur Pré-production / Intégrateur Technique (H/F), OBJECTWARE NE,Le Groupe Objectware fondé en 1999 est une ESN (Entreprise de Services du Numérique) spécialisée dans le Conseil et l'Ingénierie en...,21.03.2023 ,,,, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -..., APACHE CFT JBOSS MONGODB ORACLE POWERSHELL REDHAT SHELL SWIFT TOMCAT WEBLOGIC
Ingénieur d'Etude et de Développement C#/.NET (H/F), OBJECTWARE NE,Le Groupe Objectware fondé en 1999 est une ESN (Entreprise de Services du Numérique) spécialisée dans le Conseil et l'Ingénierie en...,21.03.2023 ,,,, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -..., C# NET
Développeur Sage X3 (H/F), INTEGRA,"Pour le renforcement de son équipe développement Sage X3, INTEGRA recherche son futur  Développeur Sage X3 (H/F) (Talent Analyste...",21.03.2023 ,,,, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -..., INTEGRA SAGE SQL
Data Officer, ATIRES PARTNERS,"Our client, full-service leasing, is looking for a Data Officer in Casablanca.Data Protection and Privacy :You will implement and...",21.03.2023 ,,,, Casablanca-Mohammedia, BIG DATA OPC
Ingénieur IT Anglophone, RELATS MAROC,"Sous la responsabilité du Directeur du site et directeur IT groupe, vos principales missions seront:Configurer/installer le matériel...",21.03.2023 ,,,, Tanger-Tétouan-Al Hoceïma, MICROSOFT SAP
Analyste Programmeur WINDEV (H/F), LSI SUD INFORMATIQUE,"LSI, éditeur de solutions logicielles pour les métiers des Parfums, de la Cosmétique et des Arômes, propose une offre complète de solutions...",21.03.2023 ,,,, Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -..., MICROSOFT MYSQL ORACLE SQL WINDEV
