title,url,posted_date,end_date,number_of_positions,company_description,requirements
Agent HelpDesk (H/F) | Skhirat (Maroc),http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-agent-helpdesk-hf-recrutement-groupe-labelvie---carrefour-skhirat-170355.html,14/04/2025,08/06/2025,1,"Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc.

	En 2009, à travers la...","Affecté(e) à la direction de l'organisation et des systèmes d'informations, les principales activitées liées au poste sont les suivantes :

	
		Prendre en charge, tout type d’incident ou de problème sur..."
Ingénieur Test Automatisé Sénior (Selenium/RobotFramework) | Casablanca (Maroc),http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-ingenieur-test-automatise-senior-seleniumrobotframework-recrutement-capgemini-casablanca-170572.html,14/04/2025,14/06/2025,1,"Capgemini est un leader mondial, responsable et multiculturel, regroupant 325 000 personnes dans plus de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la...","Concevoir et développer des scripts de tests automatiques
	
		Conception et développement de bouchons ou générateurs de requêtes ou jeux de test
	
		Intégration des tests dans la chaîne..."
Consultant Test Fonctionnel Confirmé/Senior (H/F) | Casablanca (Maroc),http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-consultant-test-fonctionnel-confirmesenior-hf-recrutement-capgemini-casablanca-170571.html,14/04/2025,14/06/2025,1,"Capgemini est un leader mondial, responsable et multiculturel, regroupant 325 000 personnes dans plus de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la...","Concevoir et développer des scripts de tests automatiques
	
		Conception et développement de bouchons ou générateurs de requêtes ou jeux de test
	
		Intégration des tests dans la chaîne..."
stagiaires PFE en Dataviz | Rabat (Maroc),http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-stagiaires-pfe-en-dataviz-recrutement-alten-maroc-rabat-170544.html,11/04/2025,11/06/2025,2,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Création de dashboards interactifs (performance, sécurité réseau)
	
		Analyse de données avec Python
	
		Automatisation de rapports via Power BI et Excel"
Stagiaire PFE en Développement | Rabat (Maroc),http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-stagiaire-pfe-en-developpement-recrutement-alten-maroc-rabat-170543.html,11/04/2025,11/06/2025,1,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Développement d’interfaces internes (admin, visualisation)


	
		Intégration avec des bases de données en PHP/SQL


	
		Amélioration UX/UI"
Développeur PLM | Fès (Maroc),http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-developpeur-plm-recrutement-alten-maroc-fes-170501.html,11/04/2025,11/06/2025,1,"ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300...","Nous recherchons un(e) Développeur PLM pour rejoindre notre équipe. Il/elle sera responsable de :

	
		Participer à l’analyse des besoins fonctionnels exprimés par les équipes métiers (R&D, BE,..."
Chef de projet infrastructure et sécurité SI | Casablanca (Maroc),http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-chef-de-projet-infrastructure-et-securite-si-recrutement-plastima-casablanca-170422.html,09/04/2025,09/06/2025,1,"Fondée en 1969, Plastima est le leader incontesté du marché marocain dans la fabrication et la transformation des matières plastiques.

	 

	Depuis plus de 55 ans, nous investissons dans la recherche et le...","Concevoir, mettre en oeuvre et superviser l'infrastructure IT de l'entreprise.
	
		Garantir la disponibilité, la performance et la sécurité des systèmes et réseaux.
	
		Piloter les projets d'évolution..."
Service Delivery Officer  (H/ F) | Rabat (Maroc),http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-service-delivery-officer-h-f-recrutement-confidentiel-rabat-170397.html,09/04/2025,09/06/2025,1,Nous recrutons pour l'un de nos projets un Service Delivery Officer (H/ F),"Vous aurez comme principale mission:

	
		Administer the various IT change management committees (Change Advisory Board) undergoing evolution and improvement in 2025.
	
		Ensure proper declaration of changes in the Tribe CAB and verify compliance with..."
Chef de projet GED | Casablanca (Maroc),http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-chef-de-projet-ged-recrutement-societe-generale-african-business-services---sg-abs-casablanca-170365.html,08/04/2025,08/06/2025,2,"SG ABS est un centre de service dédié aux métiers de l'IT et du digital, conçu pour accompagner le développement des banques Société Générale dans ses grands projets d’avenir sur le...","Conçois, développe et maintiens des produits GED autour de la solution Docubase, en coordination avec le chef de projet et conformément aux exigences du Métier, en ce qui concerne la qualité, les performances, le..."
Chef de Projet Infrastructure Informatique | Technopolis (Maroc),http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-chef-de-projet-infrastructure-informatique-recrutement-dxc---cdg-technopolis-170332.html,07/04/2025,07/06/2025,1,"DXC Technology est née en avril 2017 d'une fusion entre CSC (Computer Sciences Corporation), Géant du Conseil et HP Enterprise Services, Leader en Services IT.

	Le Groupe DXC enregistre 25 milliards $ de revenus, bénéficie de...","Gestion de projet : Planification, coordination et suivi des projets d'infrastructure IT (serveurs, réseaux, stockage, cloud, sécurité).
	
		Transformation numérique : Accompagnement des entreprises dans la mise en place de..."
Chefs de Projet Technique | Technopolis Salé (Maroc),http://www.rekrute.com/web/20250605110521/https://www.rekrute.com/offre-emploi-chefs-de-projet-technique-recrutement-dxc---cdg-technopolis-sale-170321.html,07/04/2025,07/06/2025,2,"DXC Technology est née en avril 2017 d'une fusion entre CSC (Computer Sciences Corporation), Géant du Conseil et HP Enterprise Services, Leader en Services IT.

	Le Groupe DXC enregistre 25 milliards $ de revenus, bénéficie de...","Nous sommes à la recherche de 2 Chefs de Projet Technique pour rejoindre notre équipe. Ce poste requiert une solide expertise en infrastructures IT, une excellente maîtrise des outils de bureautique ainsi qu’une bonne..."
